DATE,daily_confirmed_cases
2020-03-12,1
2020-03-13,0
2020-03-14,5
2020-03-15,4
2020-03-16,4
2020-03-17,4
2020-03-18,11
2020-03-19,30
2020-03-20,162
2020-03-21,151
2020-03-22,133
2020-03-23,120
2020-03-24,85
2020-03-25,157
2020-03-26,168
2020-03-27,207
2020-03-28,196
2020-03-29,102
2020-03-30,438
2020-03-31,287
2020-04-01,357
2020-04-02,270
2020-04-03,252
2020-04-04,201
2020-04-05,312
2020-04-06,228
2020-04-07,306
2020-04-08,205
2020-04-09,279
2020-04-10,195
2020-04-11,291
2020-04-12,225
2020-04-13,216
2020-04-14,182
2020-04-15,263
2020-04-16,290
2020-04-17,320
2020-04-18,173
2020-04-19,277
2020-04-20,250
2020-04-21,288
2020-04-22,499
2020-04-23,451
2020-04-24,466
2020-04-25,301
2020-04-26,298
2020-04-27,297
2020-04-28,273
2020-04-29,564
2020-04-30,995
2020-05-01,767
2020-05-02,237
2020-05-03,370
2020-05-04,309
2020-05-05,189
2020-05-06,259
2020-05-07,392
2020-05-08,193
2020-05-09,244
2020-05-10,247
2020-05-11,538
2020-05-12,691
2020-05-13,320
2020-05-14,261
2020-05-15,193
2020-05-16,259
2020-05-17,470
2020-05-18,341
2020-05-19,334
2020-05-20,259
2020-05-21,383
2020-05-22,385
2020-05-23,418
2020-05-24,331
2020-05-25,594
2020-05-26,354
2020-05-27,214
2020-05-28,595
2020-05-29,230
2020-05-30,456
2020-05-31,604
2020-06-01,603
2020-06-02,644
2020-06-03,353
2020-06-04,227
2020-06-05,509
2020-06-06,467
2020-06-07,425
2020-06-08,487
2020-06-09,585
2020-06-10,427
2020-06-11,612
2020-06-12,544
2020-06-13,537
2020-06-14,602
2020-06-15,705
2020-06-16,611
2020-06-17,405
2020-06-18,1094
2020-06-19,736
2020-06-20,404
2020-06-21,590
2020-06-22,625
2020-06-23,1013
2020-06-24,839
2020-06-25,1028
2020-06-26,972
2020-06-27,263
2020-06-28,654
2020-06-29,1773
2020-06-30,1640
2020-07-01,1413
2020-07-02,1912
2020-07-03,1340
2020-07-04,1453
2020-07-05,1335
2020-07-06,882
2020-07-07,2143
2020-07-08,1639
2020-07-09,1799
2020-07-10,1964
2020-07-11,1174
2020-07-12,2315
2020-07-13,1816
2020-07-14,2102
2020-07-15,1918
2020-07-16,2946
2020-07-17,2118
2020-07-18,2110
2020-07-19,1569
2020-07-20,1192
2020-07-21,3134
2020-07-22,1978
2020-07-23,2511
2020-07-24,1840
2020-07-25,3073
2020-07-26,2300
2020-07-27,1895
2020-07-28,2471
2020-07-29,1172
2020-07-30,3551
2020-07-31,1742
2020-08-01,2150
2020-08-02,1071
2020-08-03,1788
2020-08-04,1733
2020-08-05,1339
2020-08-06,2722
2020-08-07,1775
2020-08-08,2096
2020-08-09,1567
2020-08-10,894
2020-08-11,1796
2020-08-12,1242
2020-08-13,2501
2020-08-14,1368
2020-08-15,1920
2020-08-16,1397
2020-08-17,832
2020-08-18,1753
2020-08-19,1334
2020-08-20,2426
2020-08-21,525
2020-08-22,2423
2020-08-23,810
2020-08-24,640
2020-08-25,1697
2020-08-26,1308
2020-08-27,2325
2020-08-28,1122
2020-08-29,1525
2020-08-30,1456
2020-08-31,1236
2020-09-01,1683
2020-09-02,1181
2020-09-03,1649
2020-09-04,1109
2020-09-05,2547
2020-09-06,822
2020-09-07,779
2020-09-08,814
2020-09-09,1121
2020-09-10,1971
2020-09-11,1000
2020-09-12,1320
2020-09-13,1389
2020-09-14,1596
2020-09-15,1880
2020-09-16,1050
2020-09-17,1814
2020-09-18,1500
2020-09-19,2124
2020-09-20,1012
2020-09-21,664
2020-09-22,1633
2020-09-23,913
2020-09-24,1392
2020-09-25,1337
2020-09-26,2114
2020-09-27,1356
2020-09-28,670
2020-09-29,1186
2020-09-30,1423
2020-10-01,1142
2020-10-02,1196
2020-10-03,1342
2020-10-04,1802
2020-10-05,2199
2020-10-06,1993
2020-10-07,1833
2020-10-08,1991
2020-10-09,1405
2020-10-10,1869
2020-10-11,2930
2020-10-12,1223
2020-10-13,1535
2020-10-14,2296
2020-10-15,1409
2020-10-16,1704
2020-10-17,2659
2020-10-18,2614
2020-10-19,2172
2020-10-20,1943
2020-10-21,1722
2020-10-22,3164
2020-10-23,2638
2020-10-24,3576
2020-10-25,3072
2020-10-26,1489
2020-10-27,2435
2020-10-28,2660
2020-10-29,2358
2020-10-30,2383
2020-10-31,148
2020-11-01,2469
2020-11-02,1885
2020-11-03,2999
2020-11-04,2630
2020-11-05,1401
2020-11-06,3571
2020-11-07,4156
2020-11-08,5348
2020-11-09,2372
2020-11-10,3005
2020-11-11,3903
2020-11-12,3138
2020-11-13,4330
2020-11-14,4849
2020-11-15,6399
2020-11-16,4629
2020-11-17,3502
2020-11-18,4003
2020-11-19,2980
2020-11-20,4009
2020-11-21,3407
2020-11-22,5496
2020-11-23,2206
2020-11-24,2049
2020-11-25,2198
2020-11-26,5234
2020-11-27,5376
2020-11-28,4635
2020-11-29,5454
2020-11-30,5937
2020-12-01,6629
2020-12-02,2490
2020-12-03,4781
2020-12-04,5348
2020-12-05,3060
2020-12-06,4026
2020-12-07,7100
2020-12-08,8055
2020-12-09,5770
2020-12-10,8842
2020-12-11,6018
2020-12-12,8873
2020-12-13,11176
2020-12-14,7902
2020-12-15,11778
2020-12-16,9290
2020-12-17,10132
2020-12-18,8251
2020-12-19,7051
2020-12-20,9966
2020-12-21,5812
2020-12-22,6813
2020-12-23,6078
